0,,,""
1,Living expenses,Groceries,"ALDI,BENU,BILLA,CBA,Coop,DM,Fressn,LIDL,Migros,PENNY,Penny,ROSS,S MARKET,SPAR,Spar,TESCO,Tesco,migrolino,"
2,Living expenses,Clothing,"ABOUTYOU,BOSS,C&A,CALVIN,CCC,H&M,PRIMARK,SPORTSD,TOPP,ZARA,aboutyou,"
3,Bills,Utilities,"AEGON,Alfa Vienna,Cig Pann,E.ON,EON,MVM,NKM,Tetõtér,közös,"
4,Bills,Mortgage,"Hitel törlesztés,"
5,Bills,Bank costs,"Bankkártya,CSOMAGDÍJ,DÍJA,KAMAT,Kamatadó,Kamatelsz,KÖLTSÉG,SZOCHO,díja,kamat,kamat jovairas,számlavezetés,"
6,Telecommunication,Mobile,"TELEKOM WEB,TELEKOM/,VODAFONE,"
7,Telecommunication,Home,"Amazon Video,NETFLIX,Netflix,Prime Video,UPC,"
8,Entertainment,Cafe,"CAFE,Cafe+Co,KAFE ART,cafe frei,nespresso,"
9,Entertainment,Restaurant,"3 GY,Cafe Molo,GEKKO,JOHN BULL,MAD MAX,PannÄnia,ZOLDFAZEK,"
10,Entertainment,Fast Food,"BEST FOOD GR,BU:FE',BURGER,DON PEPE,DONALDS,DONUT,Delivery Hero,FORTE,LA PIZZA DI,MARCO POL,MCD,NETPINCER,Netpincer,PIZZAFORTE,TELETAL,foodora,"
11,Entertainment,Cinema,"CINEMA,ITMAGYARCIN,blue Cinema,"
12,Entertainment,Cultural,"DIVINO,LIBRI,MONYO,"
13,Travel,Transportation,".MAV,BKK,BUNDESB,Bundesb,JET 2,MOL,NYKK,OEBB,OMV,PARKOL,RYANAIR,SHELL,SIMPLE,UBER,Uber,V-START,WIZZ,ZVV,easyJet,"
14,Travel,Accommodation,"AIRBNB,Booking,HOTEL,"
15,Travel,Extra,"DUTY,"
16,Home improvement,Furniture,"Design Bú,Design Mö,JYSK,"
17,Home improvement,Renovation,"ANRODISZ,DOKKER,Dr. Padl,Esõ Dániel,Festek,Forgácsné Varga,Il Bagno,Orbán Gábor,PalCo,Rábaablak,Vaskos,elektrikstore,"
18,Home improvement,Appliances,"LA'MPAHA'Z,feny24,"
19,Hobby,Sport,"DECATHLON,Galaxy,"
20,Hobby,Hardware,"Amazon,EKWB,PCX,eMAG,"
21,Hobby,Audio,"BLIZZARD,EPIC GAMES,GENEANET,GOOGLE,MIDJOURNEY,STEAM,"
22,Hobby,Software,"Tidal,"
23,Income,Salary,"BESI,BÉR,FUBA,Gy.tartás,Munkabér,PACKARD,havi m,munkabér,"
24,Income,Revenue,"Perspectix,Schleisheimer,Schleissheimer,"
25,Income,Taxes,"Iparkamara,NAV,Város Önk.,"
26,Income,Travel compensation,"Utazási,"
27,Income,Debt,""
28,Special,Internal Transfer,"devizaváltás,int,"
29,Project,NewHome,""
30,Project,Study,""
31,Project,Car,"Autófokusz,Toyota,"
32,Project,Wedding,""
33,Project,Child,"BRENDON,PPRSR,REGIO,TORPE-FALVA,"
34,Project,Business,"Iparkamara,"
